"","symbol","model_intercept","Beta"
"1","MMM","0.00391209062762763","0.700478810929829"
"2","AOS","0.0241463147397228","0.842920387215698"
"3","ABT","-0.00046208970202207","0.216811828465588"
"4","ACN","0.0150798087356206","0.615491213328436"
"5","ATVI","0.0198771685389961","0.523219281361061"
"6","AYI","0.0258091355708485","1.41786974715565"
"7","ADBE","0.0316462108964278","1.92048750274825"
"8","AAP","0.0266129876674566","0.654107794017487"
"9","AMD","0.0195389526600177","2.00716055715865"
"10","AES","0.0166928302198886","1.69100884471026"
"11","AET","-0.00327926180386126","1.27264390224286"
"12","AMG","0.0353540937772166","2.34183355985218"
"13","AFL","0.033305834327222","2.08276157041936"
"14","A","0.00531396493134483","1.28474077899979"
"15","APD","0.014555645821624","1.27285634075804"
"16","AKAM","0.00229268562320582","0.882418708919422"
"17","ALK","-0.00446872270145674","0.00280670612427114"
"18","ALB","0.012845059800975","1.48295242090067"
"19","ARE","-0.00145689434503331","1.41436120696259"
"20","ALGN","0.0522766991418253","2.39097960239518"
"21","LNT","-0.00439572672353546","0.580663812602038"
"22","ALL","0.0248488415380061","2.00606127452354"
"23","GOOGL","0.0042555797048901","1.01155938370006"
"24","GOOG","0.00425558024493127","1.01155942181415"
"25","MO","-0.00464846537794698","0.320902650611981"
"26","AMZN","0.0271040637564552","1.06161286687908"
"27","AEE","-0.0135773533724428","0.732720916063286"
"28","AAL","-0.0105326601019199","0.71168417743415"
"29","AEP","-0.00925953267215862","0.518706555848659"
"30","AXP","0.0291975139754151","2.38576554855235"
"31","AIG","0.0264459688072722","4.55775473432723"
"32","AMT","0.00120576609647616","0.730263305437737"
"33","AWK","0.00776519054764593","0.305704907730882"
"34","AMP","0.0216373636078932","2.20329146826206"
"35","ABC","0.00792637711840816","0.684584841414469"
"36","AME","0.0134405269815677","0.993606873879516"
"37","AMGN","0.00741251124481581","0.233698567866004"
"38","APH","0.0210947253241468","1.38204828973054"
"39","ADI","0.0212736996513763","1.12022124360028"
"40","ANDV","-0.0234031931567809","1.07015745334608"
"41","ANSS","0.0301181564268063","1.54563953075617"
"42","ANTM","0.0157608772741016","1.39099395014802"
"43","AON","-0.00169174475128992","0.40766951818072"
"44","APA","0.0183019702382418","1.13250104302192"
"45","AIV","0.0322879877426451","2.59484667013279"
"46","AAPL","0.0317733538063916","1.44830817219664"
"47","AMAT","0.000808219595340473","0.931116061216742"
"48","ADM","-0.00060655065469746","0.217460369677235"
"49","AJG","0.0251474033479843","1.08096477664734"
