"","symbol","ActivePremium","Alpha","AnnualizedAlpha","Beta","Beta-","Beta+","Correlation","Correlationp-value","InformationRatio","R-squared","TrackingError","TreynorRatio"
"46","AAPL",0.1175,0.0318,0.4555,1.4483,0.9676,2.0516,0.6518,0.0025,0.2797,0.4249,0.4202,-0.0937
"47","AMAT",-0.005,8e-04,0.0097,0.9311,0.7857,1.0667,0.6337,0.0036,-0.0183,0.4016,0.2744,-0.2774
"48","ADM",0.1048,-6e-04,-0.0073,0.2175,0.6185,0.2605,0.1119,0.6484,0.2086,0.0125,0.5023,-0.6829
"49","AJG",0.189,0.0251,0.3472,1.081,0.7663,1.7392,0.6225,0.0044,0.576,0.3875,0.3281,-0.0595
"50","AIZ",-0.1982,0.0081,0.1018,1.8102,2.4916,-0.4604,0.7268,4e-04,-0.4344,0.5282,0.4562,-0.2494
"51","T",0.0736,-0.0017,-0.02,0.5501,0.6065,0.2383,0.5091,0.026,0.2955,0.2592,0.249,-0.3266
"52","ADSK",-0.1763,0.0232,0.3175,2.3844,1.9065,2.111,0.8887,0,-0.395,0.7898,0.4463,-0.1802
"53","ADP",0.1377,0.0043,0.0522,0.5387,1.0149,0.6752,0.493,0.032,0.5405,0.243,0.2547,-0.2147
"54","AZO",0.4939,0.0322,0.4627,0.4584,0.3258,-0.519,0.3324,0.1644,1.4544,0.1105,0.3395,0.5247
"55","AVB",0.0075,0.0159,0.208,1.4838,1.924,2.1357,0.8752,0,0.0325,0.7659,0.2295,-0.1657
"56","AVY",-0.0693,0.0092,0.1164,1.5326,1.543,1.7312,0.8304,0,-0.2483,0.6895,0.2791,-0.2105
"57","BLL",0.2552,0.0176,0.2331,0.5995,0.574,-1.3034,0.4306,0.0657,0.8032,0.1855,0.3178,0.0033
"58","BAC",-0.2603,0.0536,0.8711,3.1184,2.9363,6.3223,0.7136,6e-04,-0.2901,0.5093,0.8972,-0.1647
"59","BAX",0.2048,0.0046,0.056,0.3083,0.5605,-0.22,0.3339,0.1624,0.7643,0.1115,0.2679,-0.1574
"60","BDX",0.1942,0.0113,0.1446,0.6107,0.9969,-0.3622,0.5281,0.0201,0.7629,0.2789,0.2546,-0.0968
"61","BBY",0.0312,0.0222,0.301,1.4338,1.223,-0.2428,0.6224,0.0044,0.0698,0.3874,0.447,-0.1549
"62","BIIB",0.0084,-0.0066,-0.0767,0.3977,0.8583,0.9116,0.2192,0.3672,0.0187,0.0481,0.4506,-0.6157
"63","BLK",0.1833,0.0479,0.7528,1.9103,2.5367,1.6683,0.8284,0,0.4813,0.6863,0.3808,-0.0366
"64","HRB",0.1548,0.0052,0.0641,0.4284,1.3528,-2.6236,0.3041,0.2055,0.4405,0.0925,0.3515,-0.2298
"65","BA",-0.1135,-0.0023,-0.0273,1.3098,0.582,1.7475,0.7864,1e-04,-0.4382,0.6184,0.2589,-0.28
"66","BWA",0.0563,0.0362,0.5327,1.904,1.2696,3.687,0.7936,1e-04,0.136,0.6297,0.4139,-0.1035
"67","BXP",-0.0653,0.0128,0.1649,1.5856,1.8447,2.1804,0.7507,2e-04,-0.179,0.5635,0.3647,-0.2009
"68","BSX",0.1229,0.027,0.376,1.2839,1.2495,-0.2325,0.6207,0.0046,0.3097,0.3853,0.3968,-0.1016
"69","BMY",0.0925,0.001,0.0122,0.5489,0.0505,-0.3794,0.4347,0.0629,0.3137,0.1889,0.2949,-0.293
"70","CHRW",0.2913,0.0263,0.3651,0.8584,0.3215,0.844,0.6131,0.0053,1.084,0.3759,0.2687,0.0443
"71","CA",0.0634,0.001,0.0125,0.6962,0.9238,-0.9215,0.5757,0.0099,0.2542,0.3314,0.2493,-0.2728
"72","CDNS",-0.2095,-0.0012,-0.0148,1.4762,1.1424,1.5754,0.5822,0.0089,-0.4109,0.3389,0.51,-0.3135
"73","CPB",0.1525,1e-04,7e-04,0.3007,0.5207,-0.0179,0.3026,0.2079,0.5375,0.0916,0.2837,-0.3352
"74","COF",-0.1278,0.0279,0.3915,1.953,1.7722,3.73,0.6148,0.0051,-0.1979,0.378,0.646,-0.1951
"75","CAH",-0.0781,-0.0116,-0.1302,0.7868,1.0449,0.2673,0.5873,0.0082,-0.2933,0.3449,0.2663,-0.4212
"76","KMX",0.0034,0.0147,0.191,1.1096,0.5331,0.3547,0.4491,0.0537,0.0065,0.2017,0.5327,-0.2252
"77","CCL",-0.0137,0.013,0.1671,1.3556,1.5856,1.2094,0.6997,9e-04,-0.0397,0.4896,0.3444,-0.1969
"78","CAT",-0.0958,0.0163,0.2135,1.8188,2.2875,2.1637,0.837,0,-0.2754,0.7006,0.3479,-0.1919
"79","CNC",0.1317,0.0245,0.3373,1.0795,0.8223,-0.4994,0.4689,0.0428,0.2685,0.2199,0.4905,-0.1126
"80","CNP",0.0373,3e-04,0.0031,0.7241,0.9111,-0.5903,0.5229,0.0216,0.1278,0.2734,0.2921,-0.2982
"81","CERN",0.3075,0.038,0.5646,1.2239,-0.0264,2.1166,0.6873,0.0011,0.972,0.4723,0.3164,0.0443
"82","CF",0.1224,0.0255,0.3521,0.9073,1.2958,1.4485,0.3405,0.1538,0.2025,0.1159,0.6043,-0.1443
"83","SCHW",0.0925,0.0222,0.3009,1.3357,1.4006,2.4763,0.7356,3e-04,0.3011,0.5412,0.3073,-0.1204
"84","CVX",0.1215,0.0039,0.0477,0.5862,0.4898,0.591,0.5266,0.0205,0.488,0.2773,0.2489,-0.2249
"85","CMG",-0.0249,0.0073,0.0908,1.0505,0.5119,1.5529,0.4717,0.0414,-0.0525,0.2225,0.4734,-0.2648
"86","CB",0.0949,0.004,0.0495,0.6788,0.0363,1.3364,0.5488,0.015,0.3637,0.3012,0.2609,-0.2333
"87","CHD",0.2469,0.0094,0.119,0.3883,0.2672,-0.0497,0.4679,0.0433,1.0728,0.219,0.2302,-0.0165
"88","CI",-0.1466,0.0228,0.3106,2.0473,2.2804,-0.4188,0.7527,2e-04,-0.2933,0.5666,0.4999,-0.1953
"89","CINF",-0.0089,-0.0037,-0.0434,0.7233,1.0699,0.6799,0.4836,0.0359,-0.0277,0.2339,0.3225,-0.3625
"90","CTAS",0.0887,0.0074,0.092,0.8563,1.1566,1.1739,0.6721,0.0016,0.3859,0.4518,0.23,-0.1922
"91","CSCO",0.0435,0.0089,0.1122,1.1226,0.9113,1.2239,0.858,0,0.2642,0.7361,0.1646,-0.1869
"92","C",-0.5181,-0.0047,-0.0549,3.1257,2.4444,6.98,0.7476,2e-04,-0.6147,0.5589,0.8428,-0.2468
"93","CTXS",0.1691,0.02,0.2682,0.988,-0.1745,2.1279,0.6096,0.0056,0.5459,0.3716,0.3097,-0.0853
"94","CME",-0.101,0.0057,0.0708,1.2864,0.582,2.3629,0.5022,0.0284,-0.1876,0.2522,0.5382,-0.2754
"95","CMS",0.0779,-9e-04,-0.011,0.5473,0.3236,-0.0851,0.4691,0.0427,0.2874,0.2201,0.2712,-0.3204
"96","KO",0.1315,0.0033,0.0398,0.5481,0.8394,0.7193,0.5711,0.0107,0.6009,0.3261,0.2189,-0.2221
"97","CTSH",0.1646,0.0233,0.319,1.135,0.7518,1.4536,0.6893,0.0011,0.5688,0.4751,0.2894,-0.0782
"98","CL",0.2078,0.0099,0.1254,0.5308,1.0127,-0.7048,0.5404,0.0169,0.9071,0.292,0.229,-0.0858
"99","CMCSA",0.0479,0.0048,0.0594,0.8668,1.1548,0.5136,0.5971,0.0069,0.1695,0.3566,0.2824,-0.237
"100","CMA",-0.0874,5e-04,0.0063,1.167,0.9467,2.3017,0.5894,0.0079,-0.2255,0.3474,0.3875,-0.2919
"101","CAG",0.1454,0.0147,0.1914,0.9148,1.2258,0.5123,0.6735,0.0016,0.5987,0.4537,0.2428,-0.118
"102","COP",-0.06,0.0014,0.0168,1.1885,1.4322,0.8506,0.7372,3e-04,-0.2252,0.5435,0.2664,-0.2636
"103","ED",0.1508,-0.0029,-0.034,0.2112,0.0065,-0.1404,0.2609,0.2806,0.5634,0.0681,0.2676,-0.4854
"104","STZ",-0.0791,-0.0017,-0.0207,0.9999,1.7827,-2.1966,0.525,0.021,-0.2024,0.2757,0.3906,-0.3324
"105","GLW",0.0335,0.0202,0.2719,1.4432,1.183,1.2959,0.7386,3e-04,0.1,0.5455,0.335,-0.1523
"106","COST",0.0533,9e-04,0.0104,0.7708,0.6337,0.7284,0.7344,3e-04,0.2953,0.5393,0.1803,-0.2595
"107","CCI",-0.0497,0.0182,0.242,1.6402,1.3202,1.0318,0.7336,4e-04,-0.1251,0.5382,0.3973,-0.1847
"108","CSX",0.1673,0.026,0.3603,1.2323,1.9506,1.2802,0.7286,4e-04,0.5874,0.5309,0.2847,-0.0698
"109","CMI",6e-04,0.0465,0.7244,2.3636,2.3223,2.5022,0.8447,0,0.0013,0.7135,0.4882,-0.1069
"110","CVS",0.1324,0.0059,0.0725,0.6704,0.4887,0.768,0.7075,7e-04,0.7359,0.5006,0.1799,-0.1804
"111","DHI",0.1227,0.0298,0.4232,0.8465,1.5697,2.3498,0.2722,0.2596,0.1699,0.0741,0.7222,-0.1543
"112","DHR",0.0735,0.0048,0.0595,0.8614,1.0446,0.6094,0.8437,0,0.5399,0.7119,0.1362,-0.2087
"113","DRI",0.1813,0.0313,0.4476,1.0814,0.5554,0.6309,0.4175,0.0753,0.3194,0.1743,0.5676,-0.0666
"114","DVA",0.1213,-0.0056,-0.0655,0.2054,-0.2119,-0.2932,0.2429,0.3163,0.4407,0.059,0.2752,-0.6426
"115","DE",-0.1063,0.0106,0.1343,1.7504,1.5982,2.5104,0.8967,0,-0.3855,0.804,0.2759,-0.2055
"116","DAL",-0.2835,-0.0312,-0.3166,0.1476,-1.8803,0.6955,0.0429,0.8617,-0.3318,0.0018,0.8542,-3.6358
"117","XRAY",0.0787,0.0127,0.1633,1.1255,1.4439,0.7131,0.8477,0,0.4564,0.7185,0.1724,-0.1551
"118","DVN",0.0348,0.0125,0.1603,1.0996,1.0901,1.959,0.5669,0.0114,0.0903,0.3214,0.3859,-0.1987
"119","DLR",0.2398,0.0307,0.4378,1.1778,1.4834,-0.009,0.7373,3e-04,0.9097,0.5437,0.2636,-0.0115
"120","DFS",0.0306,0.0292,0.4123,1.7345,1.4656,2.2688,0.7527,2e-04,0.0754,0.5666,0.4062,-0.1284
"121","DISH",-0.1666,2e-04,0.0021,1.4988,1.2447,1.1052,0.67,0.0017,-0.3987,0.4489,0.4179,-0.2802
"122","DLTR",0.5189,0.0314,0.4496,0.3535,0.112,0.2526,0.2667,0.2697,1.5038,0.0711,0.3451,0.7514
"123","D",0.0964,5e-04,0.0058,0.5749,0.6332,-0.2377,0.6066,0.0059,0.4622,0.3679,0.2085,-0.273
"124","DOV",0.0967,0.0236,0.3234,1.4503,1.5242,0.583,0.8888,0,0.4596,0.79,0.2103,-0.108
"125","DTE",0.0688,0.0025,0.0304,0.7454,0.4776,0.1361,0.6538,0.0024,0.3175,0.4274,0.2168,-0.2475
"126","DUK",0.121,-0.002,-0.0242,0.4051,0.4876,0.1269,0.6406,0.0031,0.6539,0.4104,0.1851,-0.3265
"127","DRE",-0.2085,0.0315,0.4501,2.4215,2.5755,2.5244,0.6476,0.0027,-0.2717,0.4194,0.7674,-0.1907
"128","DXC",0.1495,0.021,0.2826,1.089,0.9948,-0.8734,0.6531,0.0024,0.4899,0.4265,0.3051,-0.0954
"129","EMN",0.0199,0.0401,0.6026,2.1909,1.2982,4.9729,0.8331,0,0.0439,0.6941,0.453,-0.1065
"130","ETN",-0.0648,0.0053,0.0659,1.3605,1.2403,0.5277,0.7813,1e-04,-0.2349,0.6104,0.276,-0.2338
"131","EBAY",-0.0796,0.0147,0.192,1.774,1.8287,2.8347,0.8835,0,-0.271,0.7806,0.2936,-0.1876
"132","ECL",0.1265,0.0082,0.103,0.7506,0.9832,1.3061,0.6605,0.0021,0.5903,0.4362,0.2143,-0.169
"133","EIX",-0.0211,-0.01,-0.1131,0.6574,0.5531,0.2275,0.6867,0.0012,-0.1128,0.4715,0.187,-0.4174
"134","EW",0.4745,0.0316,0.4523,0.5596,0.2009,0.4393,0.5015,0.0287,1.8555,0.2515,0.2557,0.3953
"135","EA",-0.2062,-0.0067,-0.0775,1.4934,2.0044,2.12,0.733,4e-04,-0.5816,0.5372,0.3546,-0.3077
"136","EMR",-0.0169,0.004,0.0493,1.1379,1.3039,0.9671,0.7599,2e-04,-0.0713,0.5774,0.237,-0.2374
"137","ETR",0.0428,-0.0027,-0.0315,0.6253,0.6546,-0.153,0.5229,0.0216,0.1635,0.2734,0.2617,-0.3366
"138","EOG",0.1328,0.019,0.253,0.8578,1.0432,2.7913,0.3927,0.0963,0.2736,0.1542,0.4853,-0.1404
"139","EQT",0.0426,3e-04,0.004,0.6495,0.1492,0.9028,0.43,0.0661,0.1255,0.1849,0.3393,-0.3244
"140","EFX",0.0661,0.0133,0.1712,1.1807,1.3498,1.83,0.8302,0,0.3375,0.6893,0.196,-0.1585
"141","EQIX",0.0273,0.0281,0.395,1.7043,0.3843,2.4868,0.725,4e-04,0.0641,0.5256,0.4255,-0.1326
"142","EQR",0.0248,0.0151,0.1974,1.3232,2.0157,2.2426,0.7347,3e-04,0.0815,0.5398,0.3046,-0.1727
"143","ESS",0.0258,0.0044,0.0541,0.9669,1.6812,1.8792,0.6852,0.0012,0.1042,0.4695,0.2478,-0.2353
"144","EL",0.1125,0.0268,0.3741,1.4709,1.6372,0.952,0.8388,0,0.4383,0.7035,0.2566,-0.0957
"145","RE",0.0569,-0.0063,-0.0728,0.4303,0.3416,0.7776,0.4264,0.0687,0.2195,0.1818,0.2593,-0.4564
"146","ES",0.0812,-0.0046,-0.0538,0.434,0.3759,-0.8049,0.523,0.0216,0.3721,0.2735,0.2183,-0.3964
"147","EXC",0.0099,-0.0079,-0.0911,0.5671,0.7625,-0.1532,0.5324,0.0189,0.0412,0.2835,0.241,-0.4292
"148","EXPE",-0.1138,0.0297,0.4215,2.258,1.8333,5.0915,0.7924,1e-04,-0.2201,0.6279,0.5171,-0.1626
"149","EXPD",0.0791,0.0028,0.034,0.64,0.18,1.3268,0.4455,0.056,0.2458,0.1984,0.3219,-0.2721
"150","ESRX",0.2367,0.0295,0.4174,1.1204,1.348,1.6939,0.6314,0.0037,0.7111,0.3987,0.3329,-0.0148
"151","EXR",0.0276,0.0221,0.2995,1.4995,1.7739,0.0896,0.7075,7e-04,0.0724,0.5006,0.3805,-0.1505
"152","XOM",0.1348,-0.0023,-0.0273,0.3075,0.2825,0.1341,0.3825,0.1061,0.5509,0.1463,0.2448,-0.3853
"153","FFIV",0.4334,0.0568,0.9409,1.3668,-0.0455,0.8682,0.5667,0.0114,0.8899,0.3212,0.487,0.1317
"154","FAST",0.1656,0.017,0.2245,0.9197,1.725,1.4028,0.6437,0.0029,0.6266,0.4144,0.2642,-0.0954
"155","FRT",0.0291,0.0169,0.2232,1.3805,1.8685,1.5445,0.7648,1e-04,0.0987,0.585,0.2948,-0.1624
"156","FDX",-0.0388,-2e-04,-0.0029,1.0429,1.0812,2.0526,0.6722,0.0016,-0.1401,0.4519,0.277,-0.2801
"157","FIS",0.1535,0.005,0.0619,0.4372,0.2743,-0.6585,0.3224,0.1782,0.4545,0.104,0.3378,-0.2283
"158","FITB",-0.3278,0.0512,0.8207,2.9635,1.7944,5.923,0.6477,0.0027,-0.3399,0.4195,0.9643,-0.1961
"159","FE",-0.021,-0.0128,-0.1432,0.4177,0.938,0.1924,0.3061,0.2024,-0.0613,0.0937,0.3431,-0.6568
"160","FISV",0.1798,0.0254,0.3507,1.1862,1.5139,0.0919,0.7708,1e-04,0.7475,0.5942,0.2405,-0.062
"161","FLS",0.1175,0.0386,0.5746,1.6778,2.1585,1.7663,0.7009,8e-04,0.2654,0.4913,0.4427,-0.0809
"162","FLR",0.0611,0.0266,0.3702,1.4808,1.5745,0.2031,0.6641,0.0019,0.1462,0.441,0.4182,-0.1298
"163","FMC",0.1776,0.0225,0.3061,1.039,0.9262,1.1801,0.6411,0.0031,0.5921,0.411,0.2999,-0.0729
"164","FL",0.1751,0.0362,0.5317,1.1232,0.7599,1.2893,0.4499,0.0533,0.3254,0.2024,0.5382,-0.0696
"165","F",0.1199,0.111,2.5353,3.2164,1.8201,11.0553,0.5997,0.0066,0.103,0.3596,1.1641,-0.0415
"166","BEN",-0.0159,0.0134,0.1728,1.4822,1.4537,1.0063,0.868,0,-0.0675,0.7534,0.2351,-0.1816
"167","FCX",-0.0745,0.0283,0.3982,1.7991,1.7342,2.9812,0.6306,0.0038,-0.1312,0.3977,0.5673,-0.1822
"168","GPS",0.1441,0.0292,0.4118,1.4407,1.4201,2.0339,0.7979,0,0.509,0.6366,0.283,-0.0758
"169","GRMN",-0.3375,-0.0284,-0.2926,1.3463,0.6288,0.3497,0.5541,0.0138,-0.6825,0.3071,0.4945,-0.4388
"170","IT",0.1485,0.043,0.6572,1.8018,2.2533,1.522,0.7601,2e-04,0.3548,0.5777,0.4186,-0.0581
"171","GD",0.0233,0.0152,0.1978,1.3761,1.5251,0.9128,0.8047,0,0.0892,0.6476,0.2609,-0.1671
"172","GE",-0.2302,-0.0093,-0.1057,1.5999,2.1539,3.2839,0.7949,0,-0.7022,0.6319,0.3279,-0.3022
"173","GIS",0.2354,0.0051,0.0633,0.2439,0.4628,-0.4972,0.32,0.1816,0.9343,0.1024,0.252,-0.0733
"174","GPC",0.0876,0.0034,0.0421,0.7428,0.3469,0.9961,0.7442,3e-04,0.5089,0.5538,0.1722,-0.223
"175","GILD",0.2728,0.0117,0.1498,0.3635,0.6464,-0.9938,0.3713,0.1175,1.0201,0.1379,0.2675,0.0538
"176","GPN",0.1792,0.0136,0.1754,0.7308,0.8848,0.1056,0.5555,0.0135,0.6599,0.3086,0.2715,-0.1014
"177","GS",0.0293,0.0177,0.2342,1.3603,0.8956,2.7025,0.6952,0.001,0.0838,0.4832,0.35,-0.1646
"178","GT",-0.1857,0.0497,0.7901,3.0992,2.7877,7.2667,0.8206,0,-0.2559,0.6734,0.7256,-0.1417
"179","GWW",0.2418,0.025,0.3449,1.0204,0.9373,0.7132,0.7773,1e-04,1.2142,0.6041,0.1991,-0.0113
"180","HAL",-0.0356,0.0195,0.2603,1.5732,1.856,1.9842,0.6805,0.0013,-0.0825,0.4631,0.431,-0.1836
"181","HBI",-0.0787,0.049,0.7744,2.6684,1.2681,6.777,0.7614,2e-04,-0.1158,0.5797,0.6794,-0.1244
"182","HOG",-0.2014,0.0284,0.4,2.5215,2.1183,4.9304,0.759,2e-04,-0.3159,0.5761,0.6374,-0.1803
"183","HIG",-0.4599,0.0547,0.8946,3.8394,4.2576,1.7159,0.7421,3e-04,-0.4258,0.5507,1.0802,-0.1858
"184","HAS",0.2147,0.0225,0.3063,0.9668,1.1829,0.9503,0.6527,0.0024,0.7934,0.426,0.2706,-0.0399
