"","symbol","model_intercept","Beta"
"1","ATVI","0.119237518131815","2.39523063719993"
"2","AMD","0.0350140950337766","2.55467863147677"
"3","AMG","0.0714983495374292","2.43432986844738"
"4","MO","0.0622591053673124","0.345799227515813"
"5","ABC","0.0829875369183634","-0.224634793707138"
"6","APH","0.066844030773136","2.83031665307521"
"7","ADI","0.0419732544350387","3.33843338319753"
"8","ANSS","0.0397217508059585","0.580512398386244"
"9","AZO","0.041943061378999","0.294617685935947"
"10","BBY","0.0731403524124253","3.19560492195333"
"11","BIIB","0.0872993870387503","2.1784698095032"
"12","BLK","0.0543868090879375","0.671718427903865"
"13","HRB","0.0461976900692118","0.58915308142738"
"14","CA","0.0455969154972683","2.93225798361754"
"15","CAH","0.0502386886550729","0.334202999565131"
"16","KMX","0.139612695892021","2.20265572625299"
"17","CERN","0.0825288039192473","1.95643242348935"
"18","CHD","0.0432012624390143","0.407429724617747"
"19","COP","0.0362806200476112","0.878594761947742"
"20","STZ","0.0376935252238382","0.526697059777046"
"21","DHI","0.0721812342059891","1.5937926222325"
"22","DHR","0.0334577774502553","0.981244616981583"
"23","DRI","0.036599966290656","0.252540681654755"
"24","DVA","0.155466741297441","1.6650592154435"
"25","D","0.0356589067717315","0.214828476117502"
"26","EBAY","0.0344239864479067","2.86640985171786"
"27","EW","0.0407441637425927","0.460681269951866"
"28","EA","0.051079276150594","1.47843219563466"
"29","ETR","0.0370456701531968","-0.173142771772691"
"30","EOG","0.0542530755634512","0.966129118965001"
"31","EQT","0.0341474122436479","0.560482068408928"
"32","EFX","0.0392456317050946","0.592144542629714"
"33","RE","0.0399750167336671","0.157644280033429"
"34","ESRX","0.0722673239736009","0.671865912977948"
"35","FFIV","0.0909823522910954","4.84116669850854"
"36","FIS","0.220020876181737","2.67695383292907"
"37","FISV","0.0359289348630207","0.557661115797332"
"38","FLS","0.0587343144118868","1.34788255511093"
"39","FLR","0.0622220680424492","0.671096922174171"
"40","FL","0.0461868035180133","0.472693324911393"
"41","BEN","0.035326891190061","1.38639829876381"
"42","GD","0.0438318312994663","0.567877863745995"
"43","GILD","0.0814141387992513","2.03635971839471"
"44","GPN","0.132820948522444","2.18054074266202"
"45","GT","0.0366090730599334","1.63246426823574"
"46","HOG","0.0395521681525224","1.70541314856496"
"47","HSIC","0.0568258064018088","0.174159362454093"
"48","HOLX","0.0468142775365201","2.52247043151634"
"49","HUM","0.0378928896389138","0.224961706047804"
"50","INTU","0.0469012423233076","2.49943876244457"
"51","ISRG","0.0763585441242124","1.76407453597442"
"52","IVZ","0.0641410851847374","2.9781362271515"
"53","JBHT","0.0464464690912428","1.73611702996683"
"54","JCI","0.0336090157378658","1.84497228172487"
"55","KLAC","0.0461276648052179","3.27796407517686"
"56","LH","0.101739960920761","0.84427879928721"
"57","LRCX","0.0363928365850509","3.05758057966614"
"58","LEN","0.0553612701721934","1.13117860639345"
"59","LNC","0.0457203475878425","1.1160523457799"
"60","LMT","0.0476016944024112","-0.180336997272325"
"61","L","0.0547108083158428","0.762930416924797"
"62","LOW","0.0335134388809378","1.16794331816546"
"63","MTB","0.0330576237659295","0.437213153347148"
"64","MRO","0.0335916012625187","0.767508347527126"
"65","MAR","0.0349569117634096","1.40162092980371"
"66","MCK","0.0579020168824137","0.792093394053607"
"67","MET","0.0460328339051998","0.529024731335207"
"68","MGM","0.0356371688099217","1.55781321136396"
"69","MCHP","0.0331450024452039","1.94131728650126"
"70","MHK","0.0551220789678015","1.03802871331771"
"71","MCO","0.0350036734679226","0.56671522917019"
"72","NKE","0.0331847087082979","0.615236537203594"
"73","NI","0.0351471171738995","0.282545226477845"
"74","NVDA","0.0947504932954437","2.5344029636318"
"75","ORLY","0.0722291495554814","1.6945078018073"
"76","PKG","0.0474423996925829","0.727465550753057"
"77","PDCO","0.0363684294554368","0.0288051913157447"
"78","PKI","0.0689489915559777","2.87945980748312"
"79","PRGO","0.072069689739874","1.37054407485498"
"80","PXD","0.0641761604431842","1.03375045463953"
"81","RL","0.0331935636117476","0.897072865577364"
"82","PPL","0.0598257565256142","0.854556222023571"
"83","PGR","0.0535460971986247","0.68439616308349"
"84","PHM","0.0538737988110764","1.16667883190515"
"85","PVH","0.0349382488462149","0.427535675623188"
"86","DGX","0.107036484634271","1.3226531962007"
"87","RRC","0.131185296768464","2.11238781252713"
"88","RJF","0.0477706822007987","1.5850305171079"
"89","REGN","0.0579049328965106","2.79484333165467"
"90","RMD","0.0501167080640542","1.05498887383546"
"91","ROK","0.038321443079189","1.45861929845871"
"92","ROST","0.0391823392918294","0.697708004482033"
"93","SBAC","0.0743844781483878","4.38433421782801"
"94","SWKS","0.0678825356852878","3.55195913581309"
"95","SO","0.0367923732264128","-0.282760697150615"
"96","SWK","0.0436138659417605","0.939982938989687"
"97","SRCL","0.0343714214819059","-0.0524500907425809"
"98","TPR","0.0995242299792078","2.44625240605533"
"99","TJX","0.0381656061028001","0.542795848081979"
"100","TSCO","0.0579963321639595","1.8385415754034"
"101","UNH","0.0553577671682476","0.525937066233881"
"102","URI","0.0586819603839738","1.58697595513426"
"103","UHS","0.0370532245268507","-0.447612256863485"
"104","UNM","0.0441381082699237","0.26862951837211"
"105","VFC","0.0325221386428079","0.670009718063504"
"106","VLO","0.0397161319725744","1.16744232854511"
"107","VTR","0.097534144005075","0.434855520943835"
"108","VRTX","0.10947187237686","3.66935999268862"
"109","WM","0.0436422310760249","0.12289033213017"
"110","WAT","0.0355022544264019","1.77599071772851"
"111","WDC","0.0535425738789192","3.37468549878781"
