"","symbol","date","Ra"
"120","ADBE",2008-05-30,0.181550008539823
"121","ADBE",2008-06-30,-0.10599187231067
"122","ADBE",2008-07-31,0.0497587979121299
"123","ADBE",2008-08-29,0.0357921178134035
"124","ADBE",2008-09-30,-0.0784497044851876
"125","ADBE",2008-10-31,-0.325057047756345
"126","ADBE",2008-11-28,-0.130630597996644
"127","ADBE",2008-12-31,-0.0807426165803109
"128","ADBE",2009-01-30,-0.0930014986847582
"129","ADBE",2009-02-27,-0.135163031339359
"130","ADBE",2009-03-31,0.280838186776156
"131","ADBE",2009-04-30,0.278634935887561
"132","ADBE",2009-05-29,0.0303473491773307
"133","ADBE",2009-06-29,0.0156139460610361
"134","AAP",2007-12-31,0.0631522890072551
"135","AAP",2008-01-31,-0.0581732215640447
"136","AAP",2008-02-29,-0.0626046555765427
"137","AAP",2008-03-31,0.0170839474452853
"138","AAP",2008-04-30,0.0185019250098788
"139","AAP",2008-05-30,0.16205268368665
"140","AAP",2008-06-30,-0.0350715979677995
"141","AAP",2008-07-31,0.0582025834731452
"142","AAP",2008-08-29,0.047456802606737
"143","AAP",2008-09-30,-0.0771419704585894
"144","AAP",2008-10-31,-0.21331321227114
"145","AAP",2008-11-28,-0.026923358949546
"146","AAP",2008-12-31,0.110501154392884
"147","AAP",2009-01-30,-0.0273399338928839
"148","AAP",2009-02-27,0.16865288778919
"149","AAP",2009-03-31,0.0756351668889319
"150","AAP",2009-04-30,0.0649951968569507
"151","AAP",2009-05-29,-0.0265144969640345
"152","AAP",2009-06-29,-0.0227828780724403
"153","AMD",2007-12-31,-0.22360248447205
"154","AMD",2008-01-31,0.012
"155","AMD",2008-02-29,-0.0500658761528326
"156","AMD",2008-03-31,-0.183079056865465
"157","AMD",2008-04-30,0.0118845500848896
"158","AMD",2008-05-30,0.154362416107382
"159","AMD",2008-06-30,-0.152616279069767
"160","AMD",2008-07-31,-0.277873070325901
"161","AMD",2008-08-29,0.494061757719715
"162","AMD",2008-09-30,-0.165341812400636
"163","AMD",2008-10-31,-0.333333333333333
"164","AMD",2008-11-28,-0.325714285714286
"165","AMD",2008-12-31,-0.0847457627118643
"166","AMD",2009-01-30,0.0138888888888888
"167","AMD",2009-02-27,-0.00456621004566204
"168","AMD",2009-03-31,0.399082568807339
"169","AMD",2009-04-30,0.183606557377049
"170","AMD",2009-05-29,0.257617728531856
"171","AMD",2009-06-29,-0.180616740088106
"172","AES",2007-12-31,-0.0156457957451235
"173","AES",2008-01-31,-0.107527214283286
"174","AES",2008-02-29,-0.0581456877916314
"175","AES",2008-03-31,-0.0728586886767776
"176","AES",2008-04-30,0.0413916730787429
"177","AES",2008-05-30,0.122119902764029
"178","AES",2008-06-30,-0.0138602931344683
"179","AES",2008-07-31,-0.159812829171344
"180","AES",2008-08-29,-0.0545226097922678
"181","AES",2008-09-30,-0.233944850670764
"182","AES",2008-10-31,-0.318220934588432
"183","AES",2008-11-28,-0.0351311855622033
"184","AES",2008-12-31,0.0715209933301986
"185","AES",2009-01-30,-0.040048464203205
"186","AES",2009-02-27,-0.203539715134502
"187","AES",2009-03-31,-0.0777781604020447
"188","AES",2009-04-30,0.216867836452491
"189","AES",2009-05-29,0.413012636073138
"190","AES",2009-06-29,0.147147227256641
"191","AET",2007-12-31,0.0208663758814915
"192","AET",2008-01-31,-0.0774292009432993
"193","AET",2008-02-29,-0.0687195801203569
"194","AET",2008-03-31,-0.151411211514655
"195","AET",2008-04-30,0.0358754974139568
"196","AET",2008-05-30,0.0816511364493493
"197","AET",2008-06-30,-0.140585400217611
"198","AET",2008-07-31,0.0118436014681371
"199","AET",2008-08-29,0.0519381500287852
"200","AET",2008-09-30,-0.162957776838
"201","AET",2008-10-31,-0.311270915292977
"202","AET",2008-11-28,-0.121140810399702
"203","AET",2008-12-31,0.306141123427848
"204","AET",2009-01-30,0.0877194171249487
"205","AET",2009-02-27,-0.230000148443897
"206","AET",2009-03-31,0.0192712660289529
"207","AET",2009-04-30,-0.0953554946912845
"208","AET",2009-05-29,0.216719754563946
"209","AET",2009-06-29,-0.0593728219205991
