"","symbol","Alpha","performance","LMT_std","mean","period","interest_mean_2020","unemp_mean","sector"
"424","WBA",-0.0513,0,"4.6","-5.11","2020",0.5,8.6,"Consumer Staples"
"425","WM",-0.001,0,"8.06","0.38","2020",0.5,8.6,"Utilities"
"426","WAT",-0.0215,0,"10","-1.71","2020",0.5,8.6,"Health Care"
"427","WEC",0.0092,1,"5.88","1.1","2020",0.5,8.6,"Utilities"
"428","WFC",-0.0859,0,"9.41","-8.06","2020",0.5,8.6,"Finance"
"429","WDC",-0.0536,0,"10.85","-4.82","2020",0.5,8.6,"Technology"
"430","WU",-0.0174,0,"10.88","-1.14","2020",0.5,8.6,"Consumer Discretionary"
"431","WRK",-0.0214,0,"12.32","-1.65","2020",0.5,8.6,"Basic Materials"
"432","WY",0.0019,0,"19.29","1.36","2020",0.5,8.6,"Real Estate"
"433","WHR",0.03,1,"19.01","4.22","2020",0.5,8.6,"Consumer Discretionary"
"434","WMB",-0.0074,0,"16.81","0.25","2020",0.5,8.6,"Utilities"
"435","WYNN",-0.062,0,"24.45","-4.67","2020",0.5,8.6,"Consumer Discretionary"
"436","XEL",0.0123,1,"6.71","1.49","2020",0.5,8.6,"Utilities"
"437","XRX",-0.0645,0,"15.61","-5.74","2020",0.5,8.6,"Technology"
"438","XL",0.0203,1,"5.37","1.95","2020",0.5,8.6,"Consumer Discretionary"
"439","XYL",0.0058,0,"9.44","1.05","2020",0.5,8.6,"Industrials"
"440","YUM",-0.0118,0,"14.05","-0.27","2020",0.5,8.6,"Consumer Discretionary"
"441","ZBH",-0.012,0,"12.89","-0.38","2020",0.5,8.6,"Health Care"
"442","ZION",-0.0594,0,"14.38","-5.05","2020",0.5,8.6,"Finance"
"443","ZTS",0.0201,1,"7.06","2.43","2020",0.5,8.6,"Health Care"
