"","symbol","date","Ra","Rb"
"1","MMM",2007-12-31,0.0256662152080911,-0.00275740541331559
"2","MMM",2008-01-31,-0.0553841496911531,-0.0611634319359364
"3","MMM",2008-02-29,-0.0094914760863688,-0.0347611927726245
"4","MMM",2008-03-31,0.00956587434814704,-0.00595962361452984
"5","MMM",2008-04-30,-0.0284270082002506,0.0475466979131989
"6","MMM",2008-05-30,0.0151293907312102,0.0106741816575771
"7","MMM",2008-06-30,-0.102759037974201,-0.0859623849028036
"8","MMM",2008-07-31,0.0114957029864013,-0.00985937109375001
"9","MMM",2008-08-29,0.0243721820581444,0.01219046453238
"10","MMM",2008-09-30,-0.0459492689171622,-0.0907914337790846
"11","MMM",2008-10-31,-0.0587028176609646,-0.16942452376742
"12","MMM",2008-11-28,0.0493410070531344,-0.0748490425806452
"13","MMM",2008-12-31,-0.140295657312134,0.00782157689705398
"14","MMM",2009-01-30,-0.0651718971484008,-0.0856573429283144
"15","MMM",2009-02-27,-0.145673218263321,-0.109931197571492
"16","MMM",2009-03-31,0.0937081274241389,0.0854044616224947
"17","MMM",2009-04-30,0.158487765255704,0.0939250798621647
"18","MMM",2009-05-29,-3.68477567408432e-05,0.0530814462553855
"19","MMM",2009-06-29,0.0500877613874242,0.00880166771979773
"20","AOS",2007-12-31,0.0320963208427718,-0.00275740541331559
"21","AOS",2008-01-31,0.0036015513054819,-0.0611634319359364
"22","AOS",2008-02-29,0.0411546443754314,-0.0347611927726245
"23","AOS",2008-03-31,-0.0977217406977596,-0.00595962361452984
"24","AOS",2008-04-30,-0.053198777301121,0.0475466979131989
"25","AOS",2008-05-30,0.168390215159601,0.0106741816575771
"26","AOS",2008-06-30,-0.0918395322525545,-0.0859623849028036
"27","AOS",2008-07-31,0.215471726571635,-0.00985937109375001
"28","AOS",2008-08-29,0.0370275138349869,0.01219046453238
"29","AOS",2008-09-30,-0.0480935495323529,-0.0907914337790846
"30","AOS",2008-10-31,-0.189636583957147,-0.16942452376742
"31","AOS",2008-11-28,0.0377182966976402,-0.0748490425806452
"32","AOS",2008-12-31,-0.098350680494118,0.00782157689705398
"33","AOS",2009-01-30,-0.0630853864879511,-0.0856573429283144
"34","AOS",2009-02-27,-0.0709612109392643,-0.109931197571492
"35","AOS",2009-03-31,-0.0137092627324606,0.0854044616224947
"36","AOS",2009-04-30,0.242592958809144,0.0939250798621647
"37","AOS",2009-05-29,-0.0353813954345817,0.0530814462553855
"38","AOS",2009-06-29,0.0956986783940614,0.00880166771979773
"39","ABT",2007-12-31,-0.0150850118486153,-0.00275740541331559
"40","ABT",2008-01-31,0.00597306291748789,-0.0611634319359364
"41","ABT",2008-02-29,-0.0468138002070743,-0.0347611927726245
"42","ABT",2008-03-31,0.0298784380703523,-0.00595962361452984
"43","ABT",2008-04-30,-0.037087356966921,0.0475466979131989
"44","ABT",2008-05-30,0.0682466606698959,0.0106741816575771
"45","ABT",2008-06-30,-0.0599823776879591,-0.0859623849028036
"46","ABT",2008-07-31,0.0703400500851294,-0.00985937109375001
"47","ABT",2008-08-29,0.0193466421678172,0.01219046453238
"48","ABT",2008-09-30,0.00261193968134976,-0.0907914337790846
"49","ABT",2008-10-31,-0.035290976503043,-0.16942452376742
"50","ABT",2008-11-28,-0.0500453596392123,-0.0748490425806452
"51","ABT",2008-12-31,0.018705974367095,0.00782157689705398
"52","ABT",2009-01-30,0.0463101213699069,-0.0856573429283144
"53","ABT",2009-02-27,-0.14610372329809,-0.109931197571492
"54","ABT",2009-03-31,0.00760479859812846,0.0854044616224947
"55","ABT",2009-04-30,-0.114598492387287,0.0939250798621647
"56","ABT",2009-05-29,0.0767023130549782,0.0530814462553855
"57","ABT",2009-06-29,0.0612521699154722,0.00880166771979773
"58","ACN",2007-12-31,0.0562883034643207,-0.00275740541331559
"59","ACN",2008-01-31,-0.0391335981124402,-0.0611634319359364
"60","ACN",2008-02-29,0.0181972446136043,-0.0347611927726245
"61","ACN",2008-03-31,-0.00226937410786321,-0.00595962361452984
"62","ACN",2008-04-30,0.0676716077554058,0.0475466979131989
"63","ACN",2008-05-30,0.0870835596144099,0.0106741816575771
"64","ACN",2008-06-30,-0.0024498723696974,-0.0859623849028036
"65","ACN",2008-07-31,0.0255401701840989,-0.00985937109375001
"66","ACN",2008-08-29,-0.00957853227447925,0.01219046453238
"67","ACN",2008-09-30,-0.0812378798205604,-0.0907914337790846
"68","ACN",2008-10-31,-0.116422597169815,-0.16942452376742
"69","ACN",2008-11-28,-0.0626324729915955,-0.0748490425806452
"70","ACN",2008-12-31,0.0584250786708433,0.00782157689705398
"71","ACN",2009-01-30,-0.0375115696651251,-0.0856573429283144
"72","ACN",2009-02-27,-0.0750950310333243,-0.109931197571492
"73","ACN",2009-03-31,-0.0582393190443166,0.0854044616224947
"74","ACN",2009-04-30,0.0705714391663885,0.0939250798621647
"75","ACN",2009-05-29,0.0169894576663105,0.0530814462553855
"76","ACN",2009-06-29,0.116939638016416,0.00880166771979773
"77","ATVI",2007-12-31,0.18942731993913,-0.00275740541331559
"78","ATVI",2008-01-31,-0.128956234019925,-0.0611634319359364
"79","ATVI",2008-02-29,0.0521839972109794,-0.0347611927726245
"80","ATVI",2008-03-31,0.00330649182766862,-0.00595962361452984
"81","ATVI",2008-04-30,-0.00952044248547834,0.0475466979131989
"82","ATVI",2008-05-30,0.247689498639969,0.0106741816575771
"83","ATVI",2008-06-30,0.0094814324649044,-0.0859623849028036
"84","ATVI",2008-07-31,0.0560611506123112,-0.00985937109375001
