"","symbol","Alpha","performance","LMT_std","mean","period","interest_mean","unemp_mean","sector"
"90","ECL",-0.0218,0,"5.42","-1.74","2001",4.4,4.5,"Consumer Discretionary"
"91","EIX",-0.0172,0,"14.07","-0.2","2001",4.4,4.5,"Utilities"
"92","EA",0.0277,1,"10.35","1.45","2001",4.4,4.5,"Consumer Discretionary"
"93","LLY",-0.0078,0,"7.82","-0.74","2001",4.4,4.5,"Health Care"
"94","EMR",-0.0262,0,"6.43","-4.48","2001",4.4,4.5,"Industrials"
"95","ETR",-0.0141,0,"8.42","-0.93","2001",4.4,4.5,"Utilities"
"96","EOG",-0.0513,0,"9.59","-5.73","2001",4.4,4.5,"Energy"
"97","EFX",0.0404,1,"7.33","3.1","2001",4.4,4.5,"Finance"
"98","EQR",0.0096,0,"2.73","1.22","2001",4.4,4.5,"Real Estate"
"99","EL",-0.0154,0,"7.54","-2.22","2001",4.4,4.5,"Consumer Discretionary"
"100","ES",-0.0103,0,"7.1","-2.09","2001",4.4,4.5,"Utilities"
"101","EXC",-0.0358,0,"8.23","-3.63","2001",4.4,4.5,"Utilities"
"102","EXPD",0.02,0,"13.27","-0.24","2001",4.4,4.5,"Consumer Discretionary"
"103","XOM",-0.0049,0,"4.15","-1.07","2001",4.4,4.5,"Energy"
"104","FDX",0.0145,0,"8.56","-0.37","2001",4.4,4.5,"Consumer Discretionary"
"105","FITB",0.0182,0,"5.75","1.01","2001",4.4,4.5,"Finance"
"106","FE",0.0138,0,"6.35","2.1","2001",4.4,4.5,"Utilities"
"107","FIS",0.1978,1,"17.29","4.69","2001",4.4,4.5,"Consumer Discretionary"
"108","FISV",0.0444,1,"12.48","1.44","2001",4.4,4.5,"Consumer Discretionary"
"109","F",-0.0028,0,"11.53","-2.43","2001",4.4,4.5,"Consumer Discretionary"
"110","BEN",0.0298,1,"11.59","-0.43","2001",4.4,4.5,"Finance"
"111","FCX",0.0624,1,"19.39","4.04","2001",4.4,4.5,"Basic Materials"
"112","GD",0.0313,1,"9.32","1.95","2001",4.4,4.5,"Industrials"
"113","GE",0.0086,0,"8.13","-1.09","2001",4.4,4.5,"Consumer Discretionary"
"114","GIS",-0.005,0,"4.96","0.44","2001",4.4,4.5,"Consumer Staples"
"115","GPC",0.0263,1,"5.44","2.67","2001",4.4,4.5,"Consumer Discretionary"
"116","GILD",0.0802,1,"19.2","5.73","2001",4.4,4.5,"Health Care"
"117","GL",0.002,0,"5.53","0.72","2001",4.4,4.5,"Finance"
"118","GS",0.0035,0,"9.79","-2.57","2001",4.4,4.5,"Finance"
