"","symbol","Alpha","performance","LMT_std","mean","period","interest_mean","unemp_mean","sector"
"193","OMC",0.0097,0,"9.55","-1.59","2001",4.4,4.5,"Consumer Discretionary"
"194","OKE",-0.0227,0,"5.1","-2.96","2001",4.4,4.5,"Utilities"
"195","ORCL",-0.0116,0,"19.38","-5.23","2001",4.4,4.5,"Technology"
"196","PCAR",0.0183,0,"7.82","0.2","2001",4.4,4.5,"Consumer Discretionary"
"197","PH",0.0047,0,"10.58","-1.89","2001",4.4,4.5,"Industrials"
"198","PAYX",-0.0252,0,"7.5","-3.67","2001",4.4,4.5,"Consumer Discretionary"
"199","PEP",-0.0065,0,"4.77","0.11","2001",4.4,4.5,"Consumer Staples"
"200","PKI",2e-04,0,"18.17","-4.54","2001",4.4,4.5,"Health Care"
"201","PFE",-0.0039,0,"5.13","-0.95","2001",4.4,4.5,"Health Care"
"202","PNW",-0.0083,0,"7.21","-1.05","2001",4.4,4.5,"Utilities"
"203","PXD",-0.0054,0,"12.42","-2.62","2001",4.4,4.5,"Energy"
"204","PNC",-0.0065,0,"5.91","-1.75","2001",4.4,4.5,"Finance"
"205","PPG",0.0218,0,"9.33","0.65","2001",4.4,4.5,"Consumer Discretionary"
"206","PPL",0.0038,0,"14","-1.79","2001",4.4,4.5,"Utilities"
"207","PG",-0.0055,0,"6.82","-0.44","2001",4.4,4.5,"Consumer Discretionary"
"208","PGR",0.0416,1,"7.9","3.27","2001",4.4,4.5,"Finance"
"209","PLD",0.0019,0,"2.82","0.12","2001",4.4,4.5,"Real Estate"
"210","PEG",-0.0035,0,"7.5","-0.25","2001",4.4,4.5,"Utilities"
"211","PSA",0.0395,1,"4.27","3.84","2001",4.4,4.5,"Real Estate"
"212","PHM",-0.0164,0,"12.43","-2.09","2001",4.4,4.5,"Consumer Discretionary"
"213","PWR",0.0134,0,"22","-3.67","2001",4.4,4.5,"Industrials"
"214","QCOM",0.0032,0,"15","-3.32","2001",4.4,4.5,"Technology"
"215","DGX",0.0165,0,"17.94","0","2001",4.4,4.5,"Health Care"
"216","RL",-0.0019,0,"12.3","-1.19","2001",4.4,4.5,"Consumer Discretionary"
"217","RTX",-0.0175,0,"11.65","-3.73","2001",4.4,4.5,"Industrials"
"218","RF",0.0248,1,"5.15","1.15","2001",4.4,4.5,"Finance"
"219","RSG",-0.0138,0,"12.08","0.37","2001",4.4,4.5,"Utilities"
"220","RHI",0.027,1,"12.64","-1.08","2001",4.4,4.5,"Consumer Discretionary"
"221","ROK",0.01,0,"13.41","-1.69","2001",4.4,4.5,"Industrials"
"222","ROP",0.0322,1,"9.82","1.08","2001",4.4,4.5,"Industrials"
"223","SPGI",0.0189,0,"6.36","0.32","2001",4.4,4.5,"Finance"
"224","SLB",-0.034,0,"9.16","-5.52","2001",4.4,4.5,"Energy"
"225","SEE",0.0335,1,"12.16","2.23","2001",4.4,4.5,"Industrials"
