"","symbol","avg_return","Volatility"
"246","NTRS",-0.0137,0.104450848824313
"247","PEG",-0.0137,0.0874417354890679
"248","DTE",-0.0137,0.0793236149373899
"249","SYY",-0.0137,0.0664168069879505
"250","DHR",-0.0138,0.0710279348539594
"251","PDCO",-0.0139,0.0939484075104383
"252","BAC",-0.014,0.304026931462875
"253","CMCSA",-0.014,0.100986452553171
"254","MDT",-0.014,0.0900407418130939
"255","CA",-0.014,0.0841348925144994
"256","PG",-0.014,0.0618384577484028
"257","ES",-0.014,0.0577384728930371
"258","TXN",-0.0143,0.0977348763690626
"259","ROP",-0.0143,0.0672261386303791
"260","RCL",-0.0144,0.307423824995007
"261","COF",-0.0144,0.220994637602513
"262","ANTM",-0.0144,0.146195309835751
"263","SBUX",-0.0145,0.133543854004364
"264","PFE",-0.0145,0.0806053982456081
"265","HAL",-0.0146,0.160849395611013
"266","MTB",-0.0146,0.149533978988728
"267","WAT",-0.0146,0.122449562135502
"268","AMT",-0.0146,0.074287092771066
"269","GD",-0.0147,0.118968667113118
"270","MTD",-0.0147,0.117484051121178
"271","SPG",-0.0148,0.175798614980342
"272","OMC",-0.0148,0.108000653499228
"273","MAR",-0.0149,0.154340075196928
"274","ZBH",-0.0149,0.113950854434156
"275","LNC",-0.0152,0.318044876742008
"276","BIIB",-0.0152,0.126207175111211
"277","AMG",-0.0154,0.217458466449242
"278","CNP",-0.0154,0.0963385288658092
"279","CSCO",-0.0154,0.0910280456120871
"280","CMG",-0.0155,0.154938708506276
"281","PPG",-0.0155,0.0972912587546862
"282","RE",-0.0156,0.0702088556188902
"283","COST",-0.0158,0.0730190773136449
"284","PKG",-0.0159,0.147956141245037
"285","OKE",-0.0162,0.0983003448048951
"286","ETR",-0.0162,0.0831966936065709
"287","NI",-0.0162,0.0775432167491626
"288","IFF",-0.0162,0.0746406698941114
"289","PNC",-0.0163,0.161638991339864
"290","AVB",-0.0163,0.117961451192015
"291","SLB",-0.0164,0.141988470718031
"292","CCL",-0.0164,0.134784473736481
"293","PKI",-0.0164,0.107747403747322
"294","ESS",-0.0165,0.0981767308664502
"295","RJF",-0.0166,0.179124175473338
"296","USB",-0.0167,0.13609512522731
"297","PAYX",-0.0167,0.0782580427737218
"298","AKAM",-0.0168,0.184355272241466
"299","PPL",-0.0168,0.0706382988440256
"300","LNT",-0.017,0.0818885613275058
"301","INTC",-0.0171,0.100718773160067
"302","CCI",-0.0173,0.155545750884017
"303","GT",-0.0174,0.262759251679447
"304","IPG",-0.0174,0.182767238027844
"305","TEL",-0.0176,0.194970256958676
"306","MAS",-0.0177,0.203558709379075
"307","GOOG",-0.0177,0.122862282417397
"308","GOOGL",-0.0177,0.122862279660896
"309","VNO",-0.0178,0.170644734138995
"310","BK",-0.0185,0.0966145885218402
"311","ALL",-0.0186,0.171390318759069
"312","BEN",-0.0187,0.118804409883604
"313","NRG",-0.0188,0.128522080520172
"314","EXPE",-0.0192,0.198253553831461
"315","ALB",-0.0193,0.127625640691163
"316","CINF",-0.0194,0.104052501834589
"317","AMAT",-0.0194,0.102225812547632
"318","UDR",-0.0198,0.146456099328117
"319","AES",-0.0199,0.168153031153036
"320","MLM",-0.0202,0.103311777889957
"321","EXC",-0.0202,0.074098716537103
"322","STX",-0.0204,0.217767665532431
"323","AEP",-0.0205,0.0610464460009514
"324","EMR",-0.0206,0.10418771986632
"325","ROK",-0.0209,0.172100254133658
"326","DRE",-0.021,0.260141356691458
"327","ISRG",-0.0211,0.18355046525117
"328","NOC",-0.0211,0.103073611772708
"329","HON",-0.0212,0.110195511606924
"330","PH",-0.0213,0.13586795667656
"331","KLAC",-0.0215,0.155204351808825
"332","CI",-0.0216,0.189227270924245
"333","BXP",-0.0216,0.146953428940036
