"","symbol","Alpha","performance","LMT_std","mean","period","interest_mean_2007","unemp_mean","sector"
"1","MMM",0.0039,0,"7.58","-1.13","2007",1.5,6.7,"Industrials"
"2","AOS",0.0241,1,"11.23","0.59","2007",1.5,6.7,"Industrials"
"3","ABT",-5e-04,0,"6.16","-0.52","2007",1.5,6.7,"Health Care"
"4","ACN",0.0151,0,"6.44","0.17","2007",1.5,6.7,"Technology"
"5","ATVI",0.0199,0,"12.48","0.85","2007",1.5,6.7,"Consumer Discretionary"
"6","AYI",0.0258,1,"15.06","-0.49","2007",1.5,6.7,"Consumer Discretionary"
"7","ADBE",0.0316,1,"15.02","-1","2007",1.5,6.7,"Technology"
"8","AAP",0.0266,1,"9.03","1.24","2007",1.5,6.7,"Consumer Discretionary"
"9","AMD",0.0195,0,"23.43","-2.4","2007",1.5,6.7,"Technology"
"10","AES",0.0167,0,"16.82","-1.99","2007",1.5,6.7,"Utilities"
"11","AET",-0.0033,0,"14.89","-3.09","2007",1.5,6.7,"Utilities"
"12","AMG",0.0354,1,"21.75","-1.54","2007",1.5,6.7,"Finance"
"13","AFL",0.0333,1,"20.19","-1.18","2007",1.5,6.7,"Finance"
"14","A",0.0053,0,"13.84","-2.25","2007",1.5,6.7,"Industrials"
"15","APD",0.0146,0,"11.14","-1.3","2007",1.5,6.7,"Industrials"
"16","AKAM",0.0023,0,"18.44","-1.68","2007",1.5,6.7,"Consumer Discretionary"
"17","ALK",-0.0045,0,"15","-0.45","2007",1.5,6.7,"Consumer Discretionary"
"18","ALB",0.0128,0,"12.76","-1.93","2007",1.5,6.7,"Industrials"
"19","ARE",-0.0015,0,"17.52","-3.21","2007",1.5,6.7,"Real Estate"
"20","ALGN",0.0523,1,"21.73","0.05","2007",1.5,6.7,"Health Care"
"21","LNT",-0.0044,0,"8.19","-1.7","2007",1.5,6.7,"Utilities"
"22","ALL",0.0248,1,"17.14","-1.86","2007",1.5,6.7,"Finance"
